Indexcd,Trddt,Clsindex,Retindex
399107,20000627,652.880,0.000567
399108,20000627,115.136,0.003985
000001,20000628,1947.480,0.002357
000002,20000628,2068.380,0.002428
000003,20000628,56.270,-0.004775
399001,20000628,4824.676,0.001723
399106,20000628,607.634,0.001190
399107,20000628,653.658,0.001192
399108,20000628,115.250,0.000990
000001,20000629,1937.260,-0.005248
000002,20000629,2057.560,-0.005231
000003,20000629,55.870,-0.007109
399001,20000629,4846.781,0.004582
399106,20000629,606.138,-0.002462
399107,20000629,652.073,-0.002425
399108,20000629,114.583,-0.005787
000001,20000630,1928.110,-0.004723
000002,20000630,2047.700,-0.004792
000003,20000630,56.020,0.002685
399001,20000630,4830.674,-0.003323
399106,20000630,602.062,-0.006725
399107,20000630,647.627,-0.006818
399108,20000630,114.736,0.001335
000001,20000703,1895.640,-0.016840
000002,20000703,2013.300,-0.016799
000003,20000703,54.820,-0.021421
399001,20000703,4739.369,-0.018901
399106,20000703,591.043,-0.018302
399107,20000703,635.832,-0.018213
399108,20000703,111.751,-0.026016
000001,20000704,1907.930,0.006483
000002,20000704,2026.400,0.006507
000003,20000704,55.060,0.004378
399001,20000704,4753.476,0.002977
399106,20000704,596.707,0.009583
399107,20000704,641.959,0.009636
399108,20000704,112.312,0.005020
000001,20000705,1909.190,0.000660
000002,20000705,2027.580,0.000582
000003,20000705,55.540,0.008718
399001,20000705,4735.259,-0.003832
399106,20000705,596.200,-0.000850
399107,20000705,641.456,-0.000784
399108,20000705,111.552,-0.006767
000001,20000706,1902.550,-0.003478
000002,20000706,2020.870,-0.003309
